"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",,
"HSDT","Helius Medical Technologies, Inc.","7.1","$181.04M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/hsdt",
"HMTV","Hemisphere Media Group, Inc.","13.27","$522.1M","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/hmtv",
"HNNA","Hennessy Advisors, Inc.","11.3","$89.47M","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/hnna",
"HSIC","Henry Schein, Inc.","60.39","$9.21B","1995","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/hsic",
"HTBK","Heritage Commerce Corp","13.46","$582.67M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/htbk",,
"HFWA","Heritage Financial Corporation","31.59","$1.16B","n/a","Finance","Banks","https://www.nasdaq.com/symbol/hfwa",,
"HCCI","Heritage-Crystal Clean, Inc.","25.01","$576.48M","2008","Basic Industries","Miscellaneous","https://www.nasdaq.com/symbol/hcci",
"MLHR","Herman Miller, Inc.","34.84","$2.05B","n/a","Consumer Durables","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/mlhr",
"HRTX","Heron Therapeutics, Inc.  ","27.26","$2.13B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/hrtx",
"HSKA","Heska Corporation","95.79","$726.97M","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/hska",,
"HX","Hexindai Inc.","2.87","$140.37M","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/hx",,
"HFFG","HF Foods Group Inc.","13.1","$290.39M","2017","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/hffg",,
"HIBB","Hibbett Sports, Inc.","16.82","$307.57M","1996","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/hibb",
"SNLN","Highland/iBoxx Senior Loan ETF","17.58","$458.79M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/snln",,
"HPJ","Highpower International Inc","2.88","$44.81M","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hpj",,
"HIHO","Highway Holdings Limited","2.9257","$11.12M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hiho",,
"HIMX","Himax Technologies, Inc.","3.76","$647.11M","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/himx",
"HIFS","Hingham Institution for Savings","183","$390.29M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hifs",,
"HSGX","Histogenics Corporation","0.1299","$8.06M","2014","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/hsgx",,
"HCCH","HL Acquisitions Corp.","9.85","$68.59M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/hcch",,
"HCCHR","HL Acquisitions Corp.","0.28","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/hcchr",,
"HCCHU","HL Acquisitions Corp.","10.41","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/hcchu",,
"HCCHW","HL Acquisitions Corp.","0.3","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/hcchw",,
"HMNF","HMN Financial, Inc.","20.02","$96.81M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hmnf",
"HMSY","HMS Holdings Corp","31.29","$2.63B","1992","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/hmsy",,
"HOLI","Hollysys Automation Technologies, Ltd.","20.11","$1.21B","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/holi",
"HOLX","Hologic, Inc.","43.79","$12.76B","1990","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/holx",
"HBCP","Home Bancorp, Inc.","34.72","$329.15M","n/a","Finance","Banks","https://www.nasdaq.com/symbol/hbcp",
"HOMB","Home BancShares, Inc.","19.2","$3.28B","2006","Finance","Major Banks","https://www.nasdaq.com/symbol/homb",
"HFBL","Home Federal Bancorp, Inc. of Louisiana","30.62","$57.62M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hfbl",
"HMST","HomeStreet, Inc.","26.32","$710.52M","2012","Finance","Major Banks","https://www.nasdaq.com/symbol/hmst",
"HMTA","HomeTown Bankshares Corporation","13.84","$80.41M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hmta",,
"HTBI","HomeTrust Bancshares, Inc.","27.51","$509.51M","2012","Finance","Savings Institutions","https://www.nasdaq.com/symbol/htbi",
"FIXX","Homology Medicines, Inc.","21.89","$820.78M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fixx",
"HOFT","Hooker Furniture Corporation","28.59","$336.94M","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/hoft",,
"HOPE","Hope Bancorp, Inc.","14.67","$1.86B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hope",
"HFBC","HopFed Bancorp, Inc.","19.66","$130.72M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hfbc",
"HBNC","Horizon Bancorp, Inc.","16.67","$639.72M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbnc",
"HZNP","Horizon Pharma plc","23.04","$3.86B","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/hznp",,
"HRZN","Horizon Technology Finance Corporation","12.2","$140.7M","2010","n/a","n/a","https://www.nasdaq.com/symbol/hrzn",,
"HPT","Hospitality Properties Trust","27.27","$4.48B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/hpt",,
"TWNK","Hostess Brands, Inc.","11.72","$1.53B","2015","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/twnk",
"TWNKW","Hostess Brands, Inc.","1.13","n/a","2015","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/twnkw",
"HOTH","Hoth Therapeutics, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hoth",
"HMHC","Houghton Mifflin Harcourt Company","10.24","$1.27B","2013","Consumer Services","Books","https://www.nasdaq.com/symbol/hmhc",,
"HWCC","Houston Wire & Cable Company","5.93","$97.98M","2006","Consumer Non-Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/hwcc",,
"HOVNP","Hovnanian Enterprises Inc","2.25","$11.25M","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/hovnp",,
"HBMD","Howard Bancorp, Inc.","13.47","$256.46M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbmd",
"HTGM","HTG Molecular Diagnostics, Inc.","2.18","$62.12M","2015","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/htgm",
"HTHT","Huazhu Group Limited","33.4","$9.72B","2010","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/htht",,
"HUBG","Hub Group, Inc.","43.86","$1.51B","1996","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/hubg",
"HSON","Hudson Global, Inc.","1.42","$45.51M","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/hson",
"HDSN","Hudson Technologies, Inc.","1.13","$48.14M","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/hdsn",
"HUNT","Hunter Maritime Acquisition Corp.","10.3","$195.35M","2017","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/hunt",,
"HUNTU","Hunter Maritime Acquisition Corp.","10.4","n/a","2016","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/huntu",,
"HUNTW","Hunter Maritime Acquisition Corp.","0.12","n/a","2017","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/huntw",,
"HBAN","Huntington Bancshares Incorporated","13.73","$14.37B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hban",,
"HBANN","Huntington Bancshares Incorporated","25.83","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbann",,
"HBANO","Huntington Bancshares Incorporated","25.7","$20.47B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbano",,
"HURC","Hurco Companies, Inc.","39.21","$267.12M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hurc",
"HURN","Huron Consulting Group Inc.","51.34","$1.16B","2004","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/hurn",,
"HCM","Hutchison China MediTech Limited","22.95","$3.06B","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/hcm",,
"HBP","Huttig Building Products, Inc.","2.25","$58.59M","n/a","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/hbp",
"HVBC","HV Bancorp, Inc.","15.205","$34.35M","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/hvbc",
"HYGS","Hydrogenics Corporation","7.21","$136.88M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/hygs",,
"HYRE","HyreCar Inc.","3.89","$45.54M","2018","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/hyre",,
"IDSY","I.D. Systems, Inc.","6.31","$114.34M","1999","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/idsy",
"IIIV","i3 Verticals, Inc.","24.74","$650.92M","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/iiiv",
"IAC","IAC/InterActiveCorp","221.54","$18.57B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/iac",,
"IBKC","IBERIABANK Corporation","76.76","$4.21B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkc",,
"IBKCO","IBERIABANK Corporation","26.33","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkco",,
"IBKCP","IBERIABANK Corporation","26.1953","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkcp",,
"IBEX","IBEX Holdings Limited","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibex",,
"ICAD","icad inc.","5.04","$84.53M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/icad",,
"IEP","Icahn Enterprises L.P.","68.5","$12.79B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/iep",,
"ICCH","ICC Holdings, Inc.","13.49","$44.56M","2017","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/icch",
"ICFI","ICF International, Inc.","71.04","$1.34B","2006","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/icfi",
"ICHR","Ichor Holdings","21.55","$479.15M","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/ichr",,
"ICLK","iClick Interactive Asia Group Limited","5.59","$292.34M","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/iclk",,
"ICLR","ICON plc","138.76","$7.55B","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/iclr",,
"ICON","Iconix Brand Group, Inc.","0.15","$11.28M","n/a","Consumer Non-Durables","Shoe Manufacturing","https://www.nasdaq.com/symbol/icon",
"ICUI","ICU Medical, Inc.","250.44","$5.13B","1992","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/icui",
"IPWR","Ideal Power Inc.","0.324","$4.54M","2013","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/ipwr",,
"IDEX","Ideanomics, Inc.","1.2","$122.72M","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/idex",
"INVE","Identiv, Inc.","4.8","$74.32M","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/inve",
"IDRA","Idera Pharmaceuticals, Inc.","2.49","$67.68M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/idra",
"IDXX","IDEXX Laboratories, Inc.","206.64","$17.82B","1991","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/idxx",
"IESC","IES Holdings, Inc.","18.56","$392.33M","n/a","Capital Goods","Engineering & Construction","https://www.nasdaq.com/symbol/iesc",
"IROQ","IF Bancorp, Inc.","20.5","$74.14M","2011","Finance","Savings Institutions","https://www.nasdaq.com/symbol/iroq",
"IFMK","iFresh Inc.","0.954","$15.52M","n/a","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/ifmk",,
"INFO","IHS Markit Ltd.","52.61","$20.91B","1996","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/info",
"IIVI","II-VI Incorporated","37.59","$2.38B","1987","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/iivi",,
"IKNX","Ikonics Corporation","8.3","$16.46M","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/iknx",,
"ILMN","Illumina, Inc.","284.37","$41.8B","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/ilmn",
"IMAC","IMAC Holdings, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/imac",
"IMACW","IMAC Holdings, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/imacw",
"ISNS","Image Sensing Systems, Inc.","4.6","$24.26M","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/isns",
"IMMR","Immersion Corporation","9.86","$303.72M","1999","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/immr",,
"ICCC","ImmuCell Corporation","7.51","$41.19M","1987","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/iccc",,
"IMDZ","Immune Design Corp.","1.53","$73.69M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imdz",,
"IMGN","ImmunoGen, Inc.","5.79","$863.24M","1989","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imgn",
"IMMU","Immunomedics, Inc.","13.93","$2.65B","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/immu",
"IMRN","Immuron Limited","7.6551","$27.32M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imrn",,
"IMRNW","Immuron Limited","1.5","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imrnw",,
"IMMP","Immutep Limited","2.16","$72.24M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/immp",,
"PI","Impinj, Inc.","16.2","$347.89M","2016","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/pi",
"IMV","IMV Inc.","5","$225.93M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imv",,
"INCY","Incyte Corporation","80.21","$17.07B","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/incy",,
"INDB","Independent Bank Corp.","81.47","$2.29B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/indb",,
"IBCP","Independent Bank Corporation","22.19","$523.23M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibcp",,
"IBTX","Independent Bank Group, Inc","54.54","$2.39B","2013","Finance","Major Banks","https://www.nasdaq.com/symbol/ibtx",
"ILPT","Industrial Logistics Properties Trust","22.36","$1.46B","2018","n/a","n/a","https://www.nasdaq.com/symbol/ilpt",,
"IDSA","Industrial Services of America, Inc.","1.26","$10.22M","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/idsa",
"INFN","Infinera Corporation","4.59","$803.19M","2007","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/infn",,
"INFI","Infinity Pharmaceuticals, Inc.","1.27","$72.22M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/infi",
"IFRX","InflaRx N.V.","33.65","$872.77M","2017","n/a","n/a","https://www.nasdaq.com/symbol/ifrx",,
"III","Information Services Group, Inc.","4.1","$185.26M","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/iii",
"IEA","Infrastructure and Energy Alternatives, Inc.","8.57","$184.92M","2016","Finance","Business Services","https://www.nasdaq.com/symbol/iea",
"IEAWW","Infrastructure and Energy Alternatives, Inc.","0.85","n/a","2016","Finance","Business Services","https://www.nasdaq.com/symbol/ieaww",
"IMKTA","Ingles Markets, Incorporated","30.19","$611.64M","1987","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/imkta",
"INMB","INmune Bio Inc.","7.69","n/a","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/inmb",,
"INWK","InnerWorkings, Inc.","4.85","$251.15M","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/inwk",
"INOD","Innodata Inc.","1.43","$37M","1993","Technology","EDP Services","https://www.nasdaq.com/symbol/inod",,
"IPHS","Innophos Holdings, Inc.","30.56","$599.48M","2006","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/iphs",
"IOSP","Innospec Inc.","73.51","$1.8B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/iosp",,
"INNT","Innovate Biopharmaceuticals, Inc.","2.19","$57.1M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/innt",
"ISSC","Innovative Solutions and Support, Inc.","2.4","$40.58M","2000","Technology","EDP Services","https://www.nasdaq.com/symbol/issc",
"INVA","Innoviva, Inc.","15.33","$1.55B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/inva",
"INGN","Inogen, Inc","142.2","$3.06B","2014","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ingn",
"INOV","Inovalon Holdings, Inc.","13.83","$2.11B","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/inov",
"INO","Inovio Pharmaceuticals, Inc.","4.63","$441.46M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/ino",
"INPX","Inpixon ","1.57","$7.33M","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/inpx",,
"INSG","Inseego Corp.","4.81","$353.02M","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/insg",,
"NSIT","Insight Enterprises, Inc.","47.99","$1.7B","1995","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/nsit",
"ISIG","Insignia Systems, Inc.","1.13","$13.38M","1991","Consumer Services","Advertising","https://www.nasdaq.com/symbol/isig",
"INSM","Insmed, Inc.","24.91","$1.92B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/insm",
"INSE","Inspired Entertainment, Inc.","6.9","$148.31M","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/inse",
"IIIN","Insteel Industries, Inc.","21.41","$411.56M","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/iiin",
"PODD","Insulet Corporation","82.85","$4.89B","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/podd",,
"INSY","Insys Therapeutics, Inc.","4.39","$326.04M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/insy",
"NTEC","Intec Pharma Ltd.","7.88","$261.82M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ntec",,
"IART","Integra LifeSciences Holdings Corporation","49.43","$4.21B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/iart",,
"IDTI","Integrated Device Technology, Inc.","48.36","$6.25B","1984","Technology","Semiconductors","https://www.nasdaq.com/symbol/idti",
"IMTE","Integrated Media Technology Limited","7.71","$20.58M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/imte",,
"INTC","Intel Corporation","48.77","$219.32B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/intc",,
"NTLA","Intellia Therapeutics, Inc.","13.71","$595.28M","2016","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/ntla",
"IPCI","Intellipharmaceutics International Inc.","0.365","$7.13M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ipci",,
"IPAR","Inter Parfums, Inc.","68.82","$2.16B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/ipar",
"ICPT","Intercept Pharmaceuticals, Inc.","117.34","$3.48B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/icpt",
"IDCC","InterDigital, Inc.","72.9","$2.47B","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/idcc",
"TILE","Interface, Inc.","16.84","$1B","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/tile",
"LINK","Interlink Electronics, Inc.","1.9","$12.32M","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/link",
"IMI","Intermolecular, Inc.","1.14","$56.72M","2011","Technology","Semiconductors","https://www.nasdaq.com/symbol/imi",
"INAP","Internap Corporation","5.32","$135.73M","1999","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/inap",
"IBOC","International Bancshares Corporation","37.34","$2.47B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/iboc",,
"IMXI","International Money Express, Inc.","11.47","$415.02M","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/imxi",
"ISCA","International Speedway Corporation","43.45","$1.89B","1996","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/isca",,
"IGLD","Internet Gold Golden Lines Ltd.","0.7449","$20.86M","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/igld",,
"IIJI","Internet Initiative Japan, Inc.","11.6755","$1.05B","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/iiji"
"IDXG","Interpace Diagnostics Group, Inc.","0.9501","$27.26M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/idxg",
"XENT","Intersect ENT, Inc.","30.53","$932.85M","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/xent",
"IPLDP","Interstate Power and Light Company","24.16","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ipldp",,
"IVAC","Intevac, Inc.","5.36","$122.29M","1995","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/ivac",
"INTL","INTL FCStone Inc.","39.79","$759.17M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/intl",,
"ITCI","Intra-Cellular Therapies Inc.","13.12","$718.01M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/itci",,
"XON","Intrexon Corporation","7.5","$1.2B","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/xon",,
"IIN","IntriCon Corporation","25.52","$220.52M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/iin",,
"INTU","Intuit Inc.","225.47","$58.52B","1993","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/intu",,
"ISRG","Intuitive Surgical, Inc.","529.46","$60.62B","2000","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/isrg",
"PLW","Invesco 1-30 Laddered Treasury ETF","32.1","$160.5M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/plw",,
"ADRA","Invesco BLDRS Asia 50 ADR Index Fund","30.36","$18.22M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adra",,
"ADRD","Invesco BLDRS Developed Markets 100 ADR Index Fund","20.685","$42.4M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adrd",,
"ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund","39.3721","$131.9M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adre",,
"ADRU","Invesco BLDRS Europe Select ADR Index Fund","20.176","$13.11M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adru",,
"PKW","Invesco BuyBack Achievers ETF","58.01","$1.14B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pkw",,
"PFM","Invesco Dividend Achievers ETF","26.39","$319.32M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pfm",,
"PYZ","Invesco DWA Basic Materials Momentum ETF","58.43","$70.12M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pyz",,
"PEZ","Invesco DWA Consumer Cyclicals Momentum ETF","52.6825","$31.61M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pez",,
"PSL","Invesco DWA Consumer Staples Momentum ETF","67.91","$169.78M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psl",,
"PIZ","Invesco DWA Developed Markets Momentum ETF","24.43","$177.12M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/piz",,
"PIE","Invesco DWA Emerging Markets Momentum ETF","16.44","$171.8M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pie",,
"PXI","Invesco DWA Energy Momentum ETF","31.29","$51.63M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pxi",,
"PFI","Invesco DWA Financial Momentum ETF","32.024","$25.62M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pfi",,
"PTH","Invesco DWA Healthcare Momentum ETF","79.73","$199.33M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pth",,
"PRN","Invesco DWA Industrials Momentum ETF","57.48","$91.97M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/prn",,
"DWLV","Invesco DWA Momentum & Low Volatility Rotation ETF","30.13","$22.6M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwlv",,
"PDP","Invesco DWA Momentum ETF","53.64","$1.39B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pdp",,
"DWAQ","Invesco DWA NASDAQ Momentum ETF","102.3791","$40.95M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwaq",,
"DWAS","Invesco DWA SmallCap Momentum ETF","48.83","$261.24M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwas",,
"DWIN","Invesco DWA Tactical Multi-Asset Income ETF","24.5893","$38.11M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwin",,
"DWTR","Invesco DWA Tactical Sector Rotation ETF","27.9012","$59.99M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwtr",,
"PTF","Invesco DWA Technology Momentum ETF","61.272","$125.61M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ptf",,
"PUI","Invesco DWA Utilities Momentum ETF","30.77","$192.31M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pui",,
"IDLB","Invesco FTSE International Low Beta Equal Weight ETF","27.03","$128.39M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/idlb",,
"PRFZ","Invesco FTSE RAFI US 1500 Small-Mid ETF","127.42","$2.13B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/prfz",,
"PAGG","Invesco Global Agriculture ETF","25.0044","$20M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pagg",,
"PSAU","Invesco Global Gold and Precious Metals ETF","18.6","$27.9M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psau",,
"PIO","Invesco Global Water ETF","25.16","$169.83M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pio",,
"PGJ","Invesco Golden Dragon China ETF","36.84","$189.73M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pgj",,
"PEY","Invesco High Yield Equity Dividend Achievers ETF","17.205","$750.14M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pey",,
"IPKW","Invesco International BuyBack Achievers ETF","30.46","$193.42M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ipkw",,
